   960    7.6800004e-02    3.3332763e+00    4.1052101e+01
   980    7.8400008e-02    3.3993702e+00    4.1308701e+01
  1000    8.0000006e-02    3.4657953e+00    4.1515675e+01
  1020    8.1600003e-02    3.5315533e+00    4.1098743e+01
  1040    8.3200008e-02    3.5974514e+00    4.1186359e+01
  1060    8.4800005e-02    3.6640012e+00    4.1593609e+01
  1080    8.6400002e-02    3.7299027e+00    4.1188446e+01
  1100    8.8000007e-02    3.7956903e+00    4.1117218e+01
  1120    8.9600004e-02    3.8621910e+00    4.1562912e+01
  1140    9.1200009e-02    3.9282973e+00    4.1316448e+01
  1160    9.2800006e-02    3.9940484e+00    4.1094421e+01
  1180    9.4400004e-02    4.0603485e+00    4.1437595e+01
  1200    9.6000008e-02    4.1267147e+00    4.1478870e+01
  1220    9.7600006e-02    4.1924949e+00    4.1112598e+01
  1240    9.9200003e-02    4.2585673e+00    4.1295288e+01
  1260    1.0080001e-01    4.3251367e+00    4.1605827e+01
  1280    1.0240000e-01    4.3910050e+00    4.1167732e+01
  1300    1.0400001e-01    4.4569273e+00    4.1201412e+01
  1320    1.0560001e-01    4.5235486e+00    4.1638313e+01
  1340    1.0720000e-01    4.5895572e+00    4.1255352e+01
  1360    1.0880001e-01    4.6553936e+00    4.1147766e+01
  1380    1.1040001e-01    4.7219372e+00    4.1589733e+01
  1400    1.1200001e-01    4.7881346e+00    4.1373371e+01
  1420    1.1360001e-01    4.8539433e+00    4.1130482e+01
  1440    1.1520001e-01    4.9202924e+00    4.1468140e+01
  1460    1.1680001e-01    4.9867239e+00    4.1519699e+01
  1480    1.1840001e-01    5.0528793e+00    4.1347145e+01
  1500    1.2000000e-01    5.0528793e+00    0.0000000e+00
  1520    1.2160001e-01    5.0528793e+00    0.0000000e+00
  1540    1.2320001e-01    5.0528793e+00    0.0000000e+00
  1560    1.2480001e-01    5.0528793e+00    0.0000000e+00
  1580    1.2640001e-01    5.0528793e+00    0.0000000e+00
  1600    1.2800001e-01    5.0528793e+00    0.0000000e+00
  1620    1.2960000e-01    5.0528793e+00    0.0000000e+00
  1640    1.3120002e-01    5.0528793e+00    0.0000000e+00
  1660    1.3280001e-01    5.0528793e+00    0.0000000e+00
  1680    1.3440001e-01    5.0528793e+00    0.0000000e+00
  1700    1.3600001e-01    5.0528793e+00    0.0000000e+00
  1720    1.3760000e-01    5.0528793e+00    0.0000000e+00
  1740    1.3920000e-01    5.0528793e+00    0.0000000e+00
  1760    1.4080001e-01    5.0528793e+00    0.0000000e+00
  1780    1.4240001e-01    5.0528793e+00    0.0000000e+00
  1800    1.4400001e-01    5.0528793e+00    0.0000000e+00
  1820    1.4560001e-01    5.0528793e+00    0.0000000e+00
  1840    1.4720000e-01    5.0528793e+00    0.0000000e+00
